Sub-Category,Sales,Profit,Discount,Quantity,Recommendation
Phones,300089.998,40333.9183,0.15435582822085891,3005.0,Premium Placement & Combo Offers
Chairs,296104.901,24293.5408,0.17046263345195728,2134.0,Premium Placement & Combo Offers
Storage,202498.046,19532.7267,0.07317073170731707,2897.0,Regular Promotion
Tables,190325.588,-16477.3724,0.2638047138047138,1165.0,Reduce Discounts & Improve Placement
Machines,183470.969,2971.7612,0.3009090909090909,428.0,Discount Optimization Needed
Binders,180395.738,28915.509,0.37268786127167625,5430.0,Premium Placement & Combo Offers
Accessories,156134.158,39498.3912,0.0768361581920904,2715.0,Premium Placement & Combo Offers
Copiers,145348.112,54435.848,0.15692307692307694,223.0,Regular Promotion
Bookcases,98734.8317,-3779.0076,0.2087378640776699,788.0,Reduce Discounts & Improve Placement
Appliances,98665.597,16227.3102,0.16928571428571432,1559.0,Regular Promotion
Furnishings,83113.256,11789.9005,0.13724137931034483,3259.0,Regular Promotion
Paper,72100.718,31233.7877,0.07614457831325303,4725.0,Regular Promotion
Supplies,45070.274,-1178.2662,0.0811764705882353,573.0,Reduce Discounts & Improve Placement
Art,24699.274,5917.8255,0.0752420470262794,2706.0,Regular Promotion
Envelopes,15473.232,6564.5688,0.08034188034188035,846.0,Regular Promotion
Labels,11368.22,5032.4585,0.06747720364741643,1267.0,Regular Promotion
Fasteners,2852.554,899.5939,0.08316831683168317,847.0,Regular Promotion
