Main Product,Offer Product,Offer Strategy
Apple iPhone 5,Mobile Accessories,5% Off on Mobile Accessories
Canon imageCLASS 2200 Advanced Copier,Printing Paper,Free Premium Printing Paper Pack
Hon Multipurpose Training Table,Office Chairs,Get 5% Off on Office Chairs
GBC Ibimaster 500 Manual ProClick Binding System,Paper Pack,Free Paper Pack
HP Designjet T520 Inkjet Large Format Printer,Printer Ink,10% Off on Printer Ink
Cisco TelePresence System EX90 Videoconferencing Unit,Wireless Headset,Free Wireless Headset
Lexmark MX611dhe Monochrome Laser Printer,Toner Cartridge,5% Off on Toner Cartridge
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Free Office Utility Kit
Riverside Palais Royal Lawyers Bookcase,Storage Organizer,Free Storage Organizer
3D Systems Cube Printer,Printer Filament,5% Off on Printer Filament
Hoover Commercial Lightweight Upright Vacuum,Cleaning Kit,Free Cleaning Kit
Eureka Disposable Bags for Sanitaire Vibra Groomer,Vacuum Accessories,Buy 1 Get 1 Free
Wirebound Voice Message Log Book,Pen Set,Buy 1 Get Pen Set Free
Avery 5,Storage Products,Free with Storage Purchase
Xerox 20,Printer Paper,Free with Printer Purchase
Maxell 4.7GB DVD+R 5/Pack,USB Storage,5% Combo Discount
Acme Serrated Blade Letter Opener,Office Kit,Free Office Utility Item
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Notebook,Free Mini Notebook
Grip Seal Envelopes,Paper Bundle,Free Paper Bundle
Portable Personal File Box,Labels,Free Labels Included
